SubjID,Dice,RO,Percent_of_Region_1_In_Overlap,Percent_of_Region_2_In_Overlap,Hem,Test
31768,0.652928637,0.484702349,0.913117528,0.508137167,LEFT,FSasegvsManual
31768,0.708629244,0.548741877,0.858152688,0.603479683,RIGHT,FSasegvsManual
31768,0.840268803,0.724537551,0.923055053,0.771110058,LEFT,HippodeepvsManual
31768,0.868055556,0.766871154,0.913053751,0.827284396,RIGHT,HippodeepvsManual
31768,0.719355227,0.561713338,0.848949432,0.624086857,LEFT,FSsubfieldsvsManual
31768,0.749336283,0.599150896,0.798067868,0.706213534,RIGHT,FSsubfieldsvsManual
31771,0.669079436,0.502719283,0.856701493,0.548873305,LEFT,FSasegvsManual
31771,0.719589552,0.561999142,0.852752626,0.622397959,RIGHT,FSasegvsManual
31771,0.854502423,0.745966136,0.900903046,0.812647402,LEFT,HippodeepvsManual
31771,0.874692349,0.777291775,0.903603792,0.847573638,RIGHT,HippodeepvsManual
31771,0.732105916,0.577418804,0.841017127,0.648168504,LEFT,FSsubfieldsvsManual
31771,0.775,0.632653058,0.829316854,0.727360845,RIGHT,FSsubfieldsvsManual
31777,0.71784435,0.559873044,0.869111001,0.611427009,LEFT,FSasegvsManual
31777,0.747191011,0.596412539,0.858583808,0.661383033,RIGHT,FSasegvsManual
31777,0.878308969,0.783022165,0.876404524,0.880221725,LEFT,HippodeepvsManual
31777,0.877309906,0.78143549,0.876336515,0.878285468,RIGHT,HippodeepvsManual
31777,0.75053226,0.600681603,0.799132645,0.707504392,LEFT,FSsubfieldsvsManual
31777,0.780664063,0.640237093,0.806334496,0.75657773,RIGHT,FSsubfieldsvsManual
31786,0.700698649,0.539288759,0.921362102,0.565308869,LEFT,FSasegvsManual
31786,0.681664206,0.517064154,0.899381161,0.548811197,RIGHT,FSasegvsManual
31786,0.846338798,0.733611226,0.948554635,0.764009476,LEFT,HippodeepvsManual
31786,0.834787842,0.716425598,0.953701556,0.742240429,RIGHT,HippodeepvsManual
31786,0.736853402,0.583347499,0.841009319,0.655653179,LEFT,FSsubfieldsvsManual
31786,0.730259883,0.575125456,0.840476751,0.64559859,RIGHT,FSsubfieldsvsManual
31788,0.737562459,0.584236801,0.890375018,0.629519761,LEFT,FSasegvsManual
31788,0.716499113,0.558238089,0.861735404,0.613157868,RIGHT,FSasegvsManual
31788,0.861747671,0.757079661,0.89745605,0.828772128,LEFT,HippodeepvsManual
31788,0.872895166,0.774457812,0.91436702,0.835022092,RIGHT,HippodeepvsManual
31788,0.749729924,0.599654377,0.81904012,0.691235065,LEFT,FSsubfieldsvsManual
31788,0.744456177,0.592935264,0.802275956,0.694410264,RIGHT,FSsubfieldsvsManual
31789,0.715332198,0.556822717,0.894546211,0.595940948,LEFT,FSasegvsManual
31789,0.671681555,0.505663037,0.85242641,0.55417639,RIGHT,FSasegvsManual
31789,0.865698368,0.763199449,0.926927984,0.81205672,LEFT,HippodeepvsManual
31789,0.841070453,0.725730419,0.918854415,0.775427997,RIGHT,HippodeepvsManual
31789,0.749471662,0.599323988,0.831060946,0.682470262,LEFT,FSsubfieldsvsManual
31789,0.724369155,0.567851722,0.816428006,0.65096736,RIGHT,FSsubfieldsvsManual
31790,0.700683743,0.539271116,0.91061008,0.569414496,LEFT,FSasegvsManual
31790,0.624011357,0.45350036,0.845329642,0.494535506,RIGHT,FSasegvsManual
31790,0.860299534,0.75484705,0.929442942,0.800731242,LEFT,HippodeepvsManual
31790,0.818529131,0.692805171,0.941758215,0.723817587,RIGHT,HippodeepvsManual
31790,0.760945184,0.614133596,0.841379285,0.694547832,LEFT,FSsubfieldsvsManual
31790,0.677764566,0.512589931,0.782967031,0.597484291,RIGHT,FSsubfieldsvsManual
31795,0.688596109,0.525083184,0.888938963,0.56194818,LEFT,FSasegvsManual
31795,0.701821844,0.540620565,0.876514971,0.585190833,RIGHT,FSasegvsManual
31795,0.87372973,0.775772691,0.91034019,0.839950085,LEFT,HippodeepvsManual
31795,0.860525496,0.755195022,0.947404504,0.788241982,RIGHT,HippodeepvsManual
31795,0.714054927,0.555276394,0.796575785,0.647026539,LEFT,FSsubfieldsvsManual
31795,0.751384615,0.601774275,0.837640047,0.681234896,RIGHT,FSsubfieldsvsManual
31799,0.687894489,0.524267673,0.865986705,0.570557892,LEFT,FSasegvsManual
31799,0.703006157,0.542027354,0.854313374,0.597230792,RIGHT,FSasegvsManual
31799,0.851329099,0.74114275,0.85839659,0.844377041,LEFT,HippodeepvsManual
31799,0.884762309,0.79333967,0.917473614,0.8543033,RIGHT,HippodeepvsManual
31799,0.739609839,0.586810231,0.82732445,0.668711662,LEFT,FSsubfieldsvsManual
31799,0.741207349,0.588824034,0.776848614,0.708693027,RIGHT,FSsubfieldsvsManual
31800,0.652277332,0.483984828,0.897672176,0.512245774,LEFT,FSasegvsManual
31800,0.686123733,0.52221334,0.893491149,0.556879461,RIGHT,FSasegvsManual
31800,0.852372583,0.742725909,0.940834165,0.779116452,LEFT,HippodeepvsManual
31800,0.847975078,0.736073554,0.92922169,0.779793739,RIGHT,HippodeepvsManual
31800,0.718414189,0.560566604,0.834869087,0.630470634,LEFT,FSsubfieldsvsManual
31800,0.755426918,0.606976748,0.831588507,0.69204545,RIGHT,FSsubfieldsvsManual
31807,0.695089955,0.532672703,0.896543384,0.567559302,LEFT,FSasegvsManual
31807,0.699367089,0.537712872,0.864031255,0.587418795,RIGHT,FSasegvsManual
31807,0.87258338,0.773967087,0.932801545,0.819668651,LEFT,HippodeepvsManual
31807,0.86908369,0.76847744,0.903344929,0.837326348,RIGHT,HippodeepvsManual
31807,0.754305273,0.605529785,0.852308452,0.676515758,LEFT,FSsubfieldsvsManual
31807,0.726639582,0.57064724,0.815812349,0.655040085,RIGHT,FSsubfieldsvsManual
